Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 1),SKU,SKU,SKU,Packaging,Packaging,Packaging,Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),In Stock,In Stock,In Stock,MOQ,MOQ,MOQ,URL,URL,URL,Distributor [Lowest Price (Overall)],SKU [Lowest Price (Overall)],Packaging [Lowest Price (Overall)],Unit Price (@ Batch Size: 1) [Lowest Price (Overall)],Line Total [Lowest Price (Overall)],Batch Total [Lowest Price (Overall)],In Stock [Lowest Price (Overall)],MOQ [Lowest Price (Overall)],URL [Lowest Price (Overall)],Notes
,,,,,,,,,Digi-Key,Farnell,Mouser,Digi-Key,Farnell,Mouser,Digi-Key,Farnell,Mouser,Digi-Key,Farnell,Mouser,Digi-Key,Farnell,Mouser,Digi-Key,Farnell,Mouser,,,,,,,,,,
1,TPS78318DDCR,Texas Instruments,TPS78318DDCR,https://octopart.com/tps78318ddcr-texas+instruments-21548115,U1,,TI Voltage Regulator 1.8V,1,296-40964-1-ND,,595-TPS78318DDCR,Cut Tape,,Tape & Reel,0.83,,0.92,8587,,3146,1,,1,https://octopart.com/click/track?ai=8237&sig=08aeb25&sid=459&ppid=21548115&vpid=192872362&ct=offers,,https://octopart.com/click/track?ai=8237&sig=08ed5d3&sid=2401&ppid=21548115&vpid=205309981&ct=offers,Rochester Electronics,TPS78318DDCR,,0.4,0.4,0.4,2514,1,https://octopart.com/click/track?ai=8237&sig=0ee6881&sid=5832&ppid=21548115&vpid=467020333&ct=offers,TI Voltage Regulator 1.8V
1,MSP430FR5989IRGCR,Texas Instruments,MSP430FR5989IRGCR,https://octopart.com/msp430fr5989irgcr-texas+instruments-48723452,U2,,TI msp430fr5989 microcontroller,1,296-51459-1-ND,,,Cut Tape,,,7.16,,,2626,,,1,,,https://octopart.com/click/track?c=1&ai=8237&sig=09ebab2&sid=459&ppid=48723452&vpid=510699730&ct=offers,,,Texas Instruments,MSP430FR5989IRGCR,Cut Tape,6.4,6.4,6.4,5955,1,https://octopart.com/click/track?ai=8237&sig=0196a65&sid=27219&ppid=48723452&vpid=267016694&ct=offers,TI msp430fr5989 microcontroller
1,TPS78330DDCR,Texas Instruments,TPS78330DDCR,https://octopart.com/tps78330ddcr-texas+instruments-14412359,,,TI Voltage Regulator 3.3V,1,296-25880-1-ND,2352487,595-TPS78330DDCR,Cut Tape,,Tape & Reel,0.83,1.0286275297320213,0.91,83012,915,35091,1,1,1,https://octopart.com/click/track?ai=8237&sig=07a4d25&sid=459&ppid=14412359&vpid=34362464&ct=offers,https://octopart.com/click/track?ai=8237&sig=0ba60e6&sid=819&ppid=14412359&vpid=548200446&ct=offers,https://octopart.com/click/track?ai=8237&sig=087dd5c&sid=2401&ppid=14412359&vpid=78283593&ct=offers,Rochester Electronics,TPS78330DDCR,,0.4,0.4,0.4,153,1,https://octopart.com/click/track?ai=8237&sig=050705d&sid=5832&ppid=14412359&vpid=182252907&ct=offers,TI Voltage Regulator 3.3V
1,311-390LRCT-ND,Yageo,RC0402FR-0739RL,https://octopart.com/rc0402fr-0739rl-yageo-39817195,R1,,"390 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film",1,311-39.0LRCT-ND,9239065,603-RC0402FR-0739RL,Cut Tape,,Tape & Reel,0.1,,0.1,1998277,58970,145165,1,10,1,https://octopart.com/click/track?ai=8237&sig=0b800c0&sid=459&ppid=39817195&vpid=114982585&ct=offers,https://octopart.com/click/track?ai=8237&sig=02aca5c&sid=819&ppid=39817195&vpid=481728204&ct=offers,https://octopart.com/click/track?ai=8237&sig=0686fe5&sid=2401&ppid=39817195&vpid=174191290&ct=offers,Future Electronics,RC0402FR-0739RL-CUTT,Cut Tape,0.0023,0.0023,0.0023,8361,1,https://octopart.com/click/track?ai=8237&sig=08696fd&sid=2454&ppid=39817195&vpid=415725173&ct=offers,
1,1276-5102-1-ND,Samsung,RC1608J473CS,https://octopart.com/rc1608j473cs-samsung-86365,R2,,47K resistor,1,1276-5102-1-ND,,,Cut Tape,,,0.1,,,88578,,,1,,,https://octopart.com/click/track?ai=8237&sig=070752c&sid=459&ppid=86365&vpid=76480869&ct=offers,,,Component Electronics,RC1608J473CS,,0.07692,0.07692,0.07692,250,1,https://octopart.com/click/track?ai=8237&sig=0dc3dfc&sid=17279&ppid=86365&vpid=74347367&ct=offers,47K resistor
1,311-470LRCT-ND,Yageo,RC0402FR-074R7L,https://octopart.com/rc0402fr-074r7l-yageo-40952548,R3,,"470 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film",1,311-4.70LRCT-ND,1458799,603-RC0402FR-074R7L,Cut Tape,,Tape & Reel,0.1,,0.1,2624662,24410,546045,1,10,1,https://octopart.com/click/track?ai=8237&sig=07651e7&sid=459&ppid=40952548&vpid=119671099&ct=offers,https://octopart.com/click/track?ai=8237&sig=0d2521c&sid=819&ppid=40952548&vpid=479001000&ct=offers,https://octopart.com/click/track?ai=8237&sig=07be493&sid=2401&ppid=40952548&vpid=116521312&ct=offers,"Arrow Electronics, Inc.",RC0402FR-074R7L,Cut Tape,0.0942,0.0942,0.0942,8687,1,https://octopart.com/click/track?ai=8237&sig=05e07bc&sid=1106&ppid=40952548&vpid=473549399&ct=offers,
1,160-1183-1-ND,Lite-On,LTST-C190GKT,https://octopart.com/ltst-c190gkt-lite-on-549821,D1,,Green 569nm LED Indication - Discrete 2.1V 0603 (1608 Metric),1,160-1183-1-ND,,859-LTST-C190GKT,Cut Tape,,Tape & Reel,0.26,,0.25,759745,,303638,1,,1,https://octopart.com/click/track?ai=8237&sig=0316225&sid=459&ppid=549821&vpid=1103326&ct=offers,,https://octopart.com/click/track?ai=8237&sig=0d18904&sid=2401&ppid=549821&vpid=37629648&ct=offers,Wuhan P&S,LTST-C190GKT,,0.03,0.03,0.03,20000,1,https://octopart.com/click/track?ai=8237&sig=0ba50ad&sid=14968&ppid=549821&vpid=78501745&ct=offers,
1,160-1181-1-ND,Lite-On,LTST-C190CKT,https://octopart.com/ltst-c190ckt-lite-on-549819,D2,,Red 638nm LED Indication - Discrete 1.8V 0603 (1608 Metric),1,160-1181-1-ND,,859-LTST-C190CKT,Cut Tape,,Tape & Reel,0.31,,0.3,538704,,134365,1,,1,https://octopart.com/click/track?ai=8237&sig=0c1654a&sid=459&ppid=549819&vpid=1393054&ct=offers,,https://octopart.com/click/track?ai=8237&sig=07248fd&sid=2401&ppid=549819&vpid=37630357&ct=offers,Voyager Components,LTST-C190CKTLITE-ON810,,0.04,0.04,0.04,1684,1,https://octopart.com/click/track?ai=8237&sig=004eac6&sid=2424&ppid=549819&vpid=562532854&ct=offers,
1,CL10B102KB8NNNC,Samsung,CL10B102KB8NNNC,https://octopart.com/cl10b102kb8nnnc-samsung-9301522,C2,,1 nF ceramic capacitor,1,1276-1018-1-ND,3013403,,Cut Tape,,,0.1,,,1706697,7230,,1,10,,https://octopart.com/click/track?ai=8237&sig=0138e6a&sid=459&ppid=9301522&vpid=72523792&ct=offers,https://octopart.com/click/track?ai=8237&sig=0ca5d2b&sid=819&ppid=9301522&vpid=541131847&ct=offers,,"Arrow Electronics, Inc.",CL10B102KB8NNNC,,0.0044,0.0044,0.0044,11425,1,https://octopart.com/click/track?ai=8237&sig=0e1c073&sid=1106&ppid=9301522&vpid=549338524&ct=offers,1 nF ceramic capacitor
1,P12216SCT-ND,Panasonic,EVQ-21304M,https://octopart.com/evq-21304m-panasonic-39992935,S1,,Tactile Switch,1,P12216SCT-ND,,,Cut Tape,,,0.22,,,3651,,,1,,,https://octopart.com/click/track?ai=8237&sig=0e3d37e&sid=459&ppid=39992935&vpid=116177448&ct=offers,,,"Arrow Electronics, Inc.",EVQ-21304M,Cut Tape,0.209,0.209,0.209,52,1,https://octopart.com/click/track?ai=8237&sig=0085bab&sid=1106&ppid=39992935&vpid=510725047&ct=offers,Tactile Switch
6,1276-1182-1-ND,Samsung,CL10A105KP8NNNC,https://octopart.com/cl10a105kp8nnnc-samsung-19831461,"C1, C4, C11, C12, C13, C15",,1 uF ceramic capacitor,6,1276-1182-1-ND,3013385,,Cut Tape,,,0.1,,,4091857,8910,,1,10,,https://octopart.com/click/track?ai=8237&sig=077d28c&sid=459&ppid=19831461&vpid=72523558&ct=offers,https://octopart.com/click/track?ai=8237&sig=0742962&sid=819&ppid=19831461&vpid=541131815&ct=offers,,Future Electronics,CL10A105KP8NNNC-CUTT,Cut Tape,0.0112,0.0672,0.0672,1290,1,https://octopart.com/click/track?ai=8237&sig=0ee3bdb&sid=2454&ppid=19831461&vpid=504264577&ct=offers,1 uF ceramic capacitor
7,732-7939-1-ND,Würth Elektronik,885012206020,https://octopart.com/885012206020-w%C3%BCrth+elektronik-53914729,"C5,  C8, C9, C10, C14, C16, C17",,100 nF ceramic capacitor,7,732-7939-1-ND,2495168,710-885012206020,Cut Tape,,Tape & Reel,0.1,,0.1,53711,13107,50114,1,10,1,https://octopart.com/click/track?ai=8237&sig=0e4d41a&sid=459&ppid=53914729&vpid=229679165&ct=offers,https://octopart.com/click/track?ai=8237&sig=0fa8f3a&sid=819&ppid=53914729&vpid=244902449&ct=offers,https://octopart.com/click/track?ai=8237&sig=07c433c&sid=2401&ppid=53914729&vpid=262450383&ct=offers,Newark,75Y6022,Cut Tape,0.017,0.11900000000000001,0.11900000000000001,8000,1,https://octopart.com/click/track?ai=8237&sig=0554afb&sid=2402&ppid=53914729&vpid=247914456&ct=offers,100 nF ceramic capacitor
1,535-11897-1-ND,Abracon,ABS05-32.768KHZ-9-T,https://octopart.com/abs05-32.768khz-9-t-abracon-24147054,X1,,12.5 pF 32 KHz external crystal,1,535-11897-1-ND,2467858,815-ABS05-32.768K9T,Cut Tape,,Tape & Reel,0.89,,0.89,174038,1537,7255,1,5,1,https://octopart.com/click/track?ai=8237&sig=052e23f&sid=459&ppid=24147054&vpid=52802768&ct=offers,https://octopart.com/click/track?ai=8237&sig=0fc08db&sid=819&ppid=24147054&vpid=206645076&ct=offers,https://octopart.com/click/track?ai=8237&sig=0858c0a&sid=2401&ppid=24147054&vpid=61904883&ct=offers,"Arrow Electronics, Inc.",ABS05-32.768KHZ-9-T,Cut Tape,0.8443,0.8443,0.8443,4549,1,https://octopart.com/click/track?ai=8237&sig=04dad38&sid=1106&ppid=24147054&vpid=473088316&ct=offers,12.5 pF 32 KHz external crystal
3,CL10C120JB8NNNC,Samsung,CL10C120JB8NNNC,https://octopart.com/cl10c120jb8nnnc-samsung-9301588,"C6, C7, C23",,12 pF ceramic capacitor,3,1276-1254-1-ND,,,Cut Tape,,,0.1,,,175175,,,1,,,https://octopart.com/click/track?ai=8237&sig=0931c25&sid=459&ppid=9301588&vpid=72524815&ct=offers,,,Future Electronics,CL10C120JB8NNNC-CUTT,Cut Tape,0.0082,0.024600000000000004,0.024600000000000004,281,1,https://octopart.com/click/track?ai=8237&sig=05b571c&sid=2454&ppid=9301588&vpid=504264922&ct=offers,12 pF ceramic capacitor
1,1276-1085-1-ND,Samsung,CL10A225KP8NNNC,https://octopart.com/cl10a225kp8nnnc-samsung-9301961,C3,,2.2 uF ceramic capacitor,1,1276-1085-1-ND,3013393,,Cut Tape,,,0.1,,,340157,8170,,1,10,,https://octopart.com/click/track?ai=8237&sig=07c7d96&sid=459&ppid=9301961&vpid=72523652&ct=offers,https://octopart.com/click/track?ai=8237&sig=07697df&sid=819&ppid=9301961&vpid=541131827&ct=offers,,Future Electronics,CL10A225KP8NNNC-CUTT,Cut Tape,0.0285,0.0285,0.0285,3650,1,https://octopart.com/click/track?ai=8237&sig=0e6efe5&sid=2454&ppid=9301961&vpid=504264607&ct=offers,2.2 uF ceramic capacitor
2,CL10B103KA8NNNC,Samsung,CL10B103KA8NNNC,https://octopart.com/cl10b103ka8nnnc-samsung-19831555,"C18, C20",,10 nF capacitor,2,1276-1132-1-ND,,,Cut Tape,,,0.1,,,1344054,,,1,,,https://octopart.com/click/track?ai=8237&sig=00a394c&sid=459&ppid=19831555&vpid=72523820&ct=offers,,,Future Electronics,CL10B103KA8NNNC-CUTT,Cut Tape,0.0118,0.0236,0.0236,3584,1,https://octopart.com/click/track?ai=8237&sig=006e84f&sid=2454&ppid=19831555&vpid=504264674&ct=offers,
3,1276-1048-1-ND,Samsung,CL10C221JB8NNNC,https://octopart.com/cl10c221jb8nnnc-samsung-9286781,"C19. C21, C22",,220 pF capacitor,3,1276-1048-1-ND,,,Cut Tape,,,0.1,,,627633,,,1,,,https://octopart.com/click/track?ai=8237&sig=0ad85f6&sid=459&ppid=9286781&vpid=72525046&ct=offers,,,Future Electronics,CL10C221JB8NNNC-CUTT,Cut Tape,0.0167,0.0501,0.0501,425,1,https://octopart.com/click/track?ai=8237&sig=01df3f9&sid=2454&ppid=9286781&vpid=504264973&ct=offers,
1,RK73H1JTTD5602F,KOA Speer,RK73H1JTTD5602F,https://octopart.com/rk73h1jttd5602f-koa+speer-9146711,R4,,RES 56K OHM 1% 1/10W 0603,1,2019-RK73H1JTTD5602FCT-ND,,660-RK73H1JTTD5602F,Cut Tape,,Tape & Reel,0.1,,0.1,6641,,19946,1,,1,https://octopart.com/click/track?ai=8237&sig=008c8f9&sid=459&ppid=9146711&vpid=531378457&ct=offers,,https://octopart.com/click/track?ai=8237&sig=0fdf8f4&sid=2401&ppid=9146711&vpid=37797732&ct=offers,Component Electronics,RK73H1JTTD5602F,,0.07692,0.07692,0.07692,5000,1,https://octopart.com/click/track?ai=8237&sig=0d3c64c&sid=17279&ppid=9146711&vpid=174936847&ct=offers,
1,NX3225GA-26MHZ-TI,NDK,NX3225GA-26MHZ-TI,https://octopart.com/nx3225ga-26mhz-ti-ndk-19043353,X2,,26MHz  20ppm Crystal 10pF 50 Ohms,1,644-1160-1-ND,,344-NX3225GA26MHZTI,Cut Tape,,Tape & Reel,0.66,,0.64,101134,,0,1,,1,https://octopart.com/click/track?c=1&ai=8237&sig=0e86f6c&sid=459&ppid=19043353&vpid=33982809&ct=offers,,https://octopart.com/click/track?c=1&ai=8237&sig=0eab440&sid=2401&ppid=19043353&vpid=502853600&ct=offers,Mouser,344-NX3225GA26MHZTI,Tape & Reel,0.64,0.64,0.64,0,1,https://octopart.com/click/track?c=1&ai=8237&sig=0eab440&sid=2401&ppid=19043353&vpid=502853600&ct=offers,
1,1276-1296-1-ND,Samsung,CL10C150JB8NNNC,https://octopart.com/cl10c150jb8nnnc-samsung-9299378,C24,,15 pF ceramic capacitor,1,1276-1296-1-ND,3013441,,Cut Tape,,,0.1,,,180715,7990,,1,10,,https://octopart.com/click/track?ai=8237&sig=0254a71&sid=459&ppid=9299378&vpid=72524868&ct=offers,https://octopart.com/click/track?ai=8237&sig=0758a01&sid=819&ppid=9299378&vpid=541131913&ct=offers,,"Arrow Electronics, Inc.",CL10C150JB8NNNC,Cut Tape,0.0908,0.0908,0.0908,23997,1,https://octopart.com/click/track?ai=8237&sig=088382f&sid=1106&ppid=9299378&vpid=476784377&ct=offers,
1,296-35718-1-ND,Texas Instruments,CC1101RGPR,https://octopart.com/cc1101rgpr-texas+instruments-25923081,U3,,CC1101 Transceiver IC,1,296-35718-1-ND,2422921,595-CC1101RGPR,Cut Tape,,Tape & Reel,4.27,4.172523819086507,3.85,2410,0,8785,1,1,1,https://octopart.com/click/track?ai=8237&sig=0d30366&sid=459&ppid=25923081&vpid=73084157&ct=offers,https://octopart.com/click/track?c=1&ai=8237&sig=038e5af&sid=819&ppid=25923081&vpid=548192356&ct=offers,https://octopart.com/click/track?ai=8237&sig=0e3ebbc&sid=2401&ppid=25923081&vpid=90919963&ct=offers,Smith & Associates,TI.CC1101RGPR,,0.9,0.9,0.9,9000,1,https://octopart.com/click/track?ai=8237&sig=064a766&sid=26644&ppid=25923081&vpid=503105012&ct=offers,
1,0433BM15A0001E,Johanson,0433BM15A0001E,https://octopart.com/0433bm15a0001e-johanson-20718224,U4,,433 MHZ Balun filter,1,712-1540-1-ND,2148531,609-0433BM15A0001E,Cut Tape,,Tape & Reel,0.97,,0.89,7848,1911,9726,1,10,1,https://octopart.com/click/track?ai=8237&sig=07ac2db&sid=459&ppid=20718224&vpid=41703342&ct=offers,https://octopart.com/click/track?ai=8237&sig=0e1b404&sid=819&ppid=20718224&vpid=207216166&ct=offers,https://octopart.com/click/track?ai=8237&sig=0e0a792&sid=2401&ppid=20718224&vpid=112932576&ct=offers,"Arrow Electronics, Inc.",0433BM15A0001E,Cut Tape,0.8082,0.8082,0.8082,627,1,https://octopart.com/click/track?ai=8237&sig=019f6bf&sid=1106&ppid=20718224&vpid=477105698&ct=offers,
1,ANT1204F002R0433A,Yageo,ANT1204F002R0433A,https://octopart.com/ant1204f002r0433a-yageo-27810897,ANT1,,433MHz Chip RF Antenna,1,311-1570-1-ND,2408849,603-ANT1204F002R0433,Cut Tape,,Tape & Reel,1.57,2.5436776223308115,1.62,27786,488,10727,1,1,1,https://octopart.com/click/track?ai=8237&sig=054a9ec&sid=459&ppid=27810897&vpid=71640924&ct=offers,https://octopart.com/click/track?ai=8237&sig=026f31c&sid=819&ppid=27810897&vpid=207811520&ct=offers,https://octopart.com/click/track?ai=8237&sig=0311886&sid=2401&ppid=27810897&vpid=90971299&ct=offers,Maritex,RF-ANT1204F002R0433A,,0.9193224158461478,0.9193224158461478,0.9193224158461478,971,1,https://octopart.com/click/track?ai=8237&sig=0056440&sid=28719&ppid=27810897&vpid=552868474&ct=offers,
1,1827-1076-1-ND,Dialog Semiconductor,SLG59M1557VTR,https://octopart.com/slg59m1557vtr-dialog+semiconductor-95713362,U5,,"Power switch 1,5 mA",1,1827-1076-1-ND,,,Cut Tape,,,0.46,,,8759,,,1,,,https://octopart.com/click/track?c=1&ai=8237&sig=00ad173&sid=459&ppid=95713362&vpid=523004347&ct=offers,,,Digi-Key,1827-1076-1-ND,Cut Tape,0.46,0.46,0.46,8759,1,https://octopart.com/click/track?c=1&ai=8237&sig=00ad173&sid=459&ppid=95713362&vpid=523004347&ct=offers,
1,ADXL362BCCZ-RLCT-ND,Analog Devices,ADXL362BCCZ-RL,https://octopart.com/adxl362bccz-rl-analog+devices-22871417,U6,,ADX362 Accelerometer,1,ADXL362BCCZ-RLCT-ND,,584-ADXL362BCCZ-R,Cut Tape,,Tape & Reel,10.5,,8.94,4732,,4762,1,,1,https://octopart.com/click/track?ai=8237&sig=08faaf9&sid=459&ppid=22871417&vpid=331400846&ct=offers,,https://octopart.com/click/track?ai=8237&sig=0a21d5d&sid=2401&ppid=22871417&vpid=482513299&ct=offers,"Arrow Electronics, Inc.",ADXL362BCCZ-RL,Cut Tape,8.488,8.488,8.488,8454,1,https://octopart.com/click/track?ai=8237&sig=012604c&sid=1106&ppid=22871417&vpid=476983398&ct=offers,
2,1276-1033-1-ND,Samsung,CL10B104JB8NNNC,https://octopart.com/cl10b104jb8nnnc-samsung-9302151,"C25, C26",,0.1uF ceramic capacitor,2,1276-1033-1-ND,,,Cut Tape,,,0.1,,,386456,,,1,,,https://octopart.com/click/track?ai=8237&sig=0f2b2b7&sid=459&ppid=9302151&vpid=72523861&ct=offers,,,Future Electronics,CL10B104JB8NNNC-CUTT,Cut Tape,0.01,0.02,0.02,5539,1,https://octopart.com/click/track?ai=8237&sig=03eb4e9&sid=2454&ppid=9302151&vpid=504264691&ct=offers,
9,S9014E-04-ND,Sullins,GRPB041VWVN-RC,https://octopart.com/grpb041vwvn-rc-sullins-12178633,"J2, J3, J4, J5, J6, J7, J8, J9, J10",,CONN HEADER VERT 4POS 1.27MM,9,S9014E-04-ND,,,Box,,,0.37,,,2267,,,1,,,https://octopart.com/click/track?c=1&ai=8237&sig=02094b4&sid=459&ppid=12178633&vpid=33973666&ct=offers,,,Future Electronics,GRPB041VWVN-RC-BAG,Bag,0.235,2.1149999999999998,2.1149999999999998,1140,1,https://octopart.com/click/track?ai=8237&sig=08f62d0&sid=2454&ppid=12178633&vpid=415569717&ct=offers,
1,S1012E-06-ND,Sullins,PEC06SAAN,https://octopart.com/pec06saan-sullins-262915,J1,,CONN HEADER VERT 6POS 2.54MM,1,S1012E-06-ND,,,Bulk,,,0.41,,,33140,,,1,,,https://octopart.com/click/track?c=1&ai=8237&sig=0cf03a8&sid=459&ppid=262915&vpid=1931528&ct=offers,,,Heilind Electronics,SULPEC06SAAN,,0.2324,0.2324,0.2324,198,1,https://octopart.com/click/track?ai=8237&sig=0553f3e&sid=8539&ppid=262915&vpid=30149771&ct=offers,
